Date,Close
01/31/1940,34.75
02/29/1940,34.5
03/31/1940,34.25
04/30/1940,34.25
05/31/1940,34.3
06/30/1940,34.5
07/31/1940,34.25
08/31/1940,34.1
09/30/1940,34.25
10/31/1940,34.5
11/30/1940,34.25
12/31/1940,34.5
01/31/1941,34.5
02/28/1941,34.5
03/31/1941,34.75
04/30/1941,34.5
05/31/1941,34.5
06/30/1941,34.5
07/31/1941,34.25
08/31/1941,34.5
09/30/1941,34.5
10/31/1941,34.5
11/30/1941,34.5
12/31/1941,35.5
01/31/1942,35.25
02/28/1942,35.25
03/31/1942,35
04/30/1942,35.25
05/31/1942,35.5
06/30/1942,36
07/31/1942,36
08/31/1942,36
09/30/1942,35.75
10/31/1942,36.25
11/30/1942,36
12/31/1942,35.5
01/31/1943,35.5
02/28/1943,35.5
03/31/1943,36
04/30/1943,36.25
05/31/1943,36.5
06/30/1943,36.25
07/31/1943,36
08/31/1943,36
09/30/1943,36
10/31/1943,36.5
11/30/1943,36.25
12/31/1943,36.5
01/31/1944,36.25
02/29/1944,36
03/31/1944,36
04/30/1944,36
05/31/1944,36.5
06/30/1944,36.75
07/31/1944,36
08/31/1944,36
09/30/1944,36
10/31/1944,36
11/30/1944,36.5
12/31/1944,36.25
01/31/1945,36.25
02/28/1945,36.75
03/31/1945,37.5
04/30/1945,38
05/31/1945,38.25
06/30/1945,37.5
07/31/1945,37
08/31/1945,36.75
09/30/1945,37.25
10/31/1945,37.5
11/30/1945,38
12/31/1945,37.25
01/31/1946,37.75
02/28/1946,38.5
03/31/1946,38
04/30/1946,38.25
05/31/1946,39
06/30/1946,39.5
07/31/1946,39
08/31/1946,38.75
09/30/1946,38
10/31/1946,37.75
11/30/1946,38
12/31/1946,38.25
01/31/1947,37.5
02/28/1947,38.5
03/31/1947,38.75
04/30/1947,39
05/31/1947,39
06/30/1947,38
07/31/1947,39
08/31/1947,42.5
09/30/1947,42.25
10/31/1947,43
11/30/1947,43.25
12/31/1947,43
01/31/1948,43
02/29/1948,43
03/31/1948,43.25
04/30/1948,42
05/31/1948,41.5
06/30/1948,42
07/31/1948,42.5
08/31/1948,42.5
09/30/1948,42.5
10/31/1948,42
11/30/1948,42.5
12/31/1948,42
01/31/1949,42.5
02/28/1949,42
03/31/1949,41.75
04/30/1949,42
05/31/1949,42
06/30/1949,42
07/31/1949,42.25
08/31/1949,41.5
09/30/1949,42
10/31/1949,42
11/30/1949,41.5
12/31/1949,40.5
01/31/1950,41.5
02/28/1950,39.5
03/31/1950,38.75
04/30/1950,38.75
05/31/1950,36.5
06/30/1950,39
07/31/1950,39.5
08/31/1950,39
09/30/1950,38.75
10/31/1950,38.1
11/30/1950,39.25
12/31/1950,40.25
01/31/1951,43.5
02/28/1951,44
03/31/1951,41.75
04/30/1951,42.75
05/31/1951,42
06/30/1951,41
07/31/1951,41.25
08/30/1951,41.5
09/30/1951,41.75
10/31/1951,40.5
11/30/1951,41
12/31/1951,40
01/31/1952,40.75
02/29/1952,40.5
03/31/1952,39.75
04/30/1952,38.5
05/31/1952,38.8
06/30/1952,38.5
07/31/1952,39
08/31/1952,39
09/30/1952,38.5
10/31/1952,38.5
11/30/1952,38.15
12/31/1952,38.7
01/31/1953,39.25
02/28/1953,38.75
03/31/1953,38.25
04/30/1953,38
05/31/1953,37.75
06/30/1953,37.5
07/31/1953,37.5
08/31/1953,37.25
09/30/1953,37.25
10/31/1953,36.75
11/30/1953,35.25
12/31/1953,35.5
01/31/1954,35.5
02/28/1954,35.25
03/31/1954,35.25
04/30/1954,35.35
05/31/1954,35.4
06/30/1954,35.3
07/31/1954,35.3
08/31/1954,35.3
09/30/1954,35.3
10/31/1954,35.25
11/30/1954,35.25
12/31/1954,35.25
01/31/1955,35.25
02/28/1955,35.25
03/31/1955,35.25
04/30/1955,35.25
05/31/1955,35.2
06/30/1955,35.2
07/31/1955,35.2
08/31/1955,35.2
09/30/1955,35.15
10/31/1955,35.15
11/30/1955,35.15
12/31/1955,35.15
01/31/1956,35.15
02/29/1956,35.15
03/31/1956,35.15
04/30/1956,35.15
05/31/1956,35.15
06/30/1956,35.15
07/31/1956,35.15
08/31/1956,35.15
09/30/1956,35.2
10/31/1956,35.2
11/30/1956,35.2
12/31/1956,35.2
01/31/1957,35.15
02/28/1957,35.15
03/31/1957,35.15
04/30/1957,35.15
05/31/1957,35.15
06/30/1957,35.15
07/31/1957,35.2
08/31/1957,35.2
09/30/1957,35.25
10/31/1957,35.25
11/30/1957,35.25
12/31/1957,35.25
01/31/1958,35.25
02/28/1958,35.25
03/31/1958,35.25
04/30/1958,35.25
05/31/1958,35.25
06/30/1958,35.25
07/31/1958,35.25
08/31/1958,35.25
09/30/1958,35.25
10/31/1958,35.25
11/30/1958,35.25
12/31/1958,35.25
01/31/1959,35.25
02/28/1959,35.25
03/31/1959,35.25
04/30/1959,35.25
05/31/1959,35.25
06/30/1959,35.25
07/31/1959,35.25
08/31/1959,35.25
09/30/1959,35.25
10/31/1959,35.25
11/30/1959,35.25
12/31/1959,35.25
01/31/1960,35.25
02/29/1960,35.25
03/31/1960,35.25
04/30/1960,35.25
05/31/1960,35.2
06/30/1960,35.2
07/31/1960,35.2
08/31/1960,35.35
09/30/1960,35.4
10/31/1960,36.5
11/30/1960,36.5
12/31/1960,36.5
01/31/1961,36.5
02/28/1961,35.15
03/31/1961,35.15
04/30/1961,35.2
05/31/1961,35.2
06/30/1961,35.2
07/31/1961,35.25
08/31/1961,35.3
09/30/1961,35.3
10/31/1961,35.4
11/30/1961,35.45
12/31/1961,35.5
01/31/1962,35.5
02/28/1962,35.4
03/31/1962,35.35
04/30/1962,35.2
05/31/1962,35.25
06/30/1962,35.3
07/31/1962,35.5
08/31/1962,35.45
09/30/1962,35.45
10/31/1962,35.45
11/30/1962,35.45
12/31/1962,35.35
01/31/1963,35.35
02/28/1963,35.4
03/31/1963,35.42
04/30/1963,35.4
05/31/1963,35.3
06/30/1963,35.3
07/31/1963,35.3
08/31/1963,35.3
09/30/1963,35.275
10/31/1963,35.25
11/30/1963,35.25
12/31/1963,35.25
01/31/1964,35.25
02/29/1964,35.25
03/31/1964,35.25
04/30/1964,35.25
05/31/1964,35.25
06/30/1964,35.25
07/31/1964,35.3
08/31/1964,35.3
09/30/1964,35.35
10/31/1964,35.35
11/30/1964,35.35
12/31/1964,35.35
01/31/1965,35.25
02/28/1965,35.4
03/31/1965,35.38
04/30/1965,35.35
05/31/1965,35.3
06/30/1965,35.275
07/31/1965,35.35
08/31/1965,35.35
09/30/1965,35.375
10/31/1965,35.35
11/30/1965,35.4
12/31/1965,35.5
01/31/1966,35.5
02/28/1966,35.5
03/31/1966,35.4
04/30/1966,35.35
05/31/1966,35.3
06/30/1966,35.32
07/31/1966,35.35
08/31/1966,35.375
